source,destination,flow
Inner Mongolia,Shanghai,2449362
Inner Mongolia,Shanxi,1058161
Inner Mongolia,Sichuan,823243
Inner Mongolia,Taiwan,63784
Inner Mongolia,Tianjin,1437552
Inner Mongolia,Tibet,13927
Inner Mongolia,Xinjiang,290666
Inner Mongolia,Yunnan,599081
Inner Mongolia,Zhejiang,1773875
Jiangsu,Anhui,8957
Jiangsu,Beijing,4521217
Jiangsu,Chongqing,6530790
Jiangsu,Fujian,5394388
Jiangsu,Gansu,1730631
Jiangsu,Guangdong,17501069
Jiangsu,Guangxi,4070022
Jiangsu,Guizhou,5080648
Jiangsu,Hainan,4088993
Jiangsu,Hebei,864309
Jiangsu,Heilongjiang,3425182
Jiangsu,Henan,524144
Jiangsu,Hong Kong,623667
Jiangsu,Hubei,812079
Jiangsu,Hunan,3998105
Jiangsu,Inner Mongolia,1672307
Jiangsu,Jiangsu,274562
Jiangsu,Jiangxi,3287832
Jiangsu,Jilin,2645055
Jiangsu,Liaoning,6674204
Jiangsu,Macau,524228
Jiangsu,Ningxia,1170601
Jiangsu,Qinghai,687363
Jiangsu,Shaanxi,4672416
Jiangsu,Shandong,2934067
Jiangsu,Shanghai,450813
Jiangsu,Shanxi,2665891
Jiangsu,Sichuan,6050215
Jiangsu,Taiwan,1018489
Jiangsu,Tianjin,596733
Jiangsu,Tibet,92392
Jiangsu,Xinjiang,1332334
Jiangsu,Yunnan,6301069
Jiangsu,Zhejiang,862678
Jiangxi,Anhui,56208
Jiangxi,Beijing,5540543
Jiangxi,Chongqing,3028647
Jiangxi,Fujian,441073
Jiangxi,Gansu,928352
Jiangxi,Guangdong,5757143
Jiangxi,Guangxi,2385884
Jiangxi,Guizhou,2674781
Jiangxi,Hainan,3443922
Jiangxi,Hebei,447875
Jiangxi,Heilongjiang,916486
Jiangxi,Henan,1638938
Jiangxi,Hong Kong,275453
Jiangxi,Hubei,987313
Jiangxi,Hunan,1038241
Jiangxi,Inner Mongolia,619786
Jiangxi,Jiangsu,3225937
Jiangxi,Jiangxi,515105
Jiangxi,Jilin,637584
Jiangxi,Liaoning,1622418
Jiangxi,Macau,120769
Jiangxi,Ningxia,535129
Jiangxi,Qinghai,70271
Jiangxi,Shaanxi,2608953
Jiangxi,Shandong,3258945
Jiangxi,Shanghai,3261953
Jiangxi,Shanxi,1345771
Jiangxi,Sichuan,2484052
Jiangxi,Taiwan,534676
Jiangxi,Tianjin,1289869
Jiangxi,Tibet,92665
Jiangxi,Xinjiang,501901
Jiangxi,Yunnan,3473498
Jiangxi,Zhejiang,1292317
Jilin,Anhui,452883
Jilin,Beijing,2979389
