Dep State Name,Arr State Name,Total Est. Pax,Time Series
Georgia,Virginia,49781,2020-01
Georgia,Washington,36652,2020-01
Georgia,West Virginia,4636,2020-01
Georgia,Wisconsin,30191,2020-01
Georgia,Wyoming,2476,2020-01
Hawaii,Alabama,1988,2020-01
Hawaii,Alaska,18687,2020-01
Hawaii,Arizona,38399,2020-01
Hawaii,Arkansas,2070,2020-01
Hawaii,California,573226,2020-01
Hawaii,Colorado,35266,2020-01
Hawaii,Connecticut,1281,2020-01
Hawaii,District Of Columbia,16498,2020-01
Hawaii,Florida,23852,2020-01
Hawaii,Georgia,13365,2020-01
Hawaii,Hawaii,1029401,2020-01
Hawaii,Idaho,8627,2020-01
Hawaii,Illinois,39653,2020-01
Hawaii,Indiana,4249,2020-01
Hawaii,Iowa,3976,2020-01
Hawaii,Kansas,1237,2020-01
Hawaii,Kentucky,1678,2020-01
Hawaii,Louisiana,3738,2020-01
Hawaii,Maine,461,2020-01
Hawaii,Maryland,8401,2020-01
Hawaii,Massachusetts,17684,2020-01
Hawaii,Michigan,12432,2020-01
Hawaii,Minnesota,27379,2020-01
Hawaii,Mississippi,644,2020-01
Hawaii,Missouri,14816,2020-01
Hawaii,Montana,5935,2020-01
Hawaii,Nebraska,5598,2020-01
Hawaii,Nevada,60692,2020-01
Hawaii,New Hampshire,139,2020-01
Hawaii,New Mexico,3805,2020-01
Hawaii,New York,47580,2020-01
Hawaii,North Carolina,7925,2020-01
Hawaii,North Dakota,2299,2020-01
Hawaii,Ohio,9998,2020-01
Hawaii,Oklahoma,3206,2020-01
Hawaii,Oregon,69243,2020-01
Hawaii,Pennsylvania,12257,2020-01
Hawaii,Rhode Island,448,2020-01
Hawaii,South Carolina,2824,2020-01
Hawaii,South Dakota,1830,2020-01
Hawaii,Tennessee,7301,2020-01
Hawaii,Texas,49287,2020-01
Hawaii,Utah,31027,2020-01
Hawaii,Vermont,169,2020-01
Hawaii,Virginia,5009,2020-01
Hawaii,Washington,117089,2020-01
Hawaii,West Virginia,188,2020-01
Hawaii,Wisconsin,5662,2020-01
Hawaii,Wyoming,756,2020-01
Idaho,Alabama,871,2020-01
Idaho,Alaska,2594,2020-01
Idaho,Arizona,20604,2020-01
Idaho,Arkansas,749,2020-01
Idaho,California,85455,2020-01
Idaho,Colorado,15143,2020-01
Idaho,Connecticut,438,2020-01
Idaho,District Of Columbia,4214,2020-01
Idaho,Florida,12957,2020-01
Idaho,Georgia,4332,2020-01
Idaho,Hawaii,11870,2020-01
Idaho,Idaho,1627,2020-01
Idaho,Illinois,6313,2020-01
Idaho,Indiana,1724,2020-01
Idaho,Iowa,1142,2020-01
Idaho,Kansas,776,2020-01
Idaho,Kentucky,601,2020-01
Idaho,Louisiana,1900,2020-01
Idaho,Maine,259,2020-01
Idaho,Maryland,2027,2020-01
Idaho,Massachusetts,2191,2020-01
Idaho,Michigan,2880,2020-01
Idaho,Minnesota,4527,2020-01
Idaho,Mississippi,223,2020-01
Idaho,Missouri,5651,2020-01
Idaho,Montana,8127,2020-01
Idaho,Nebraska,1688,2020-01
Idaho,Nevada,24927,2020-01
Idaho,New Hampshire,85,2020-01
Idaho,New Mexico,1926,2020-01
Idaho,New York,7101,2020-01
Idaho,North Carolina,2738,2020-01
Idaho,North Dakota,1350,2020-01
Idaho,Ohio,3769,2020-01
Idaho,Oklahoma,2065,2020-01
Idaho,Oregon,26136,2020-01
Idaho,Pennsylvania,3364,2020-01
Idaho,Rhode Island,155,2020-01
Idaho,South Carolina,906,2020-01
Idaho,South Dakota,1250,2020-01
Idaho,Tennessee,3468,2020-01
Idaho,Texas,17953,2020-01
Idaho,Utah,16420,2020-01
Idaho,Vermont,133,2020-01
Idaho,Virginia,1604,2020-01
Idaho,Washington,53098,2020-01
Idaho,West Virginia,46,2020-01
Idaho,Wisconsin,2106,2020-01
Idaho,Wyoming,1390,2020-01
Illinois,Alabama,15091,2020-01
Illinois,Alaska,3753,2020-01
Illinois,Arizona,157144,2020-01
Illinois,Arkansas,16878,2020-01
Illinois,California,442017,2020-01
Illinois,Colorado,138839,2020-01
Illinois,Connecticut,20582,2020-01
Illinois,District Of Columbia,96771,2020-01
Illinois,Florida,674791,2020-01
Illinois,Georgia,132021,2020-01
Illinois,Hawaii,27764,2020-01
Illinois,Idaho,5805,2020-01
Illinois,Illinois,33713,2020-01
Illinois,Indiana,26517,2020-01
Illinois,Iowa,30252,2020-01
Illinois,Kansas,7534,2020-01
Illinois,Kentucky,27623,2020-01
Illinois,Louisiana,43641,2020-01
Illinois,Maine,3569,2020-01
Illinois,Maryland,50188,2020-01
Illinois,Massachusetts,88426,2020-01
Illinois,Michigan,105174,2020-01
Illinois,Minnesota,110884,2020-01
Illinois,Mississippi,4865,2020-01
Illinois,Missouri,110045,2020-01
Illinois,Montana,7623,2020-01
Illinois,Nebraska,26626,2020-01
Illinois,Nevada,142829,2020-01
Illinois,New Hampshire,6830,2020-01
Illinois,New Jersey,120,2020-01
Illinois,New Mexico,11976,2020-01
Illinois,New York,333278,2020-01
Illinois,North Carolina,94883,2020-01
Illinois,North Dakota,6133,2020-01
Illinois,Ohio,119989,2020-01
Illinois,Oklahoma,15615,2020-01
Illinois,Oregon,31735,2020-01
Illinois,Pennsylvania,114425,2020-01
Illinois,Rhode Island,13079,2020-01
Illinois,South Carolina,23120,2020-01
Illinois,South Dakota,5571,2020-01
Illinois,Tennessee,68994,2020-01
Illinois,Texas,326319,2020-01
Illinois,Utah,36024,2020-01
