source,destination,flow
Maine,Alaska,6601
Maine,Arizona,85488
Maine,Arkansas,17172
Maine,California,243520
Maine,Colorado,113628
Maine,Connecticut,49700
Maine,Delaware,7579
Maine,District of Columbia,305553
Maine,Florida,1167629
Maine,Georgia,165288
Maine,Hawaii,12671
Maine,Idaho,7644
Maine,Illinois,167313
Maine,Indiana,55909
Maine,Iowa,17078
Maine,Kansas,5533
Maine,Kentucky,31489
Maine,Louisiana,61330
Maine,Maine,13300
Maine,Maryland,213206
Maine,Massachusetts,246937
Maine,Michigan,116130
Maine,Minnesota,59971
Maine,Mississippi,10586
Maine,Missouri,76797
Maine,Montana,14645
Maine,Nebraska,15234
Maine,Nevada,74774
Maine,New Hampshire,3130
Maine,New Jersey,30775
Maine,New Mexico,11556
Maine,New York,787949
Maine,North Carolina,238373
Maine,North Dakota,5102
Maine,Ohio,128440
Maine,Oklahoma,22395
Maine,Oregon,32086
Maine,Pennsylvania,236026
Maine,Rhode Island,31904
Maine,South Carolina,98016
Maine,South Dakota,5511
Maine,Tennessee,111635
Maine,Texas,217716
Maine,Utah,30292
Maine,Vermont,21899
Maine,Virginia,96428
Maine,Washington,52953
Maine,West Virginia,5936
Maine,Wisconsin,56157
Maine,Wyoming,5836
Maryland,Alabama,237950
Maryland,Alaska,41995
Maryland,Arizona,815455
Maryland,Arkansas,100612
Maryland,California,2758678
Maryland,Colorado,1252692
Maryland,Connecticut,457665
Maryland,Delaware,6986
Maryland,District of Columbia,52380
Maryland,Florida,7554298
Maryland,Georgia,1783680
Maryland,Hawaii,197918
Maryland,Idaho,55416
Maryland,Illinois,1335801
Maryland,Indiana,360963
Maryland,Iowa,58754
Maryland,Kansas,34434
Maryland,Kentucky,303611
Maryland,Louisiana,623364
Maryland,Maine,210071
Maryland,Maryland,13446
Maryland,Massachusetts,1233020
Maryland,Michigan,705815
Maryland,Minnesota,464693
Maryland,Mississippi,67555
Maryland,Missouri,813364
Maryland,Montana,70235
Maryland,Nebraska,72285
Maryland,Nevada,1090463
Maryland,New Hampshire,449665
Maryland,New Jersey,53625
Maryland,New Mexico,205240
Maryland,New York,1461129
Maryland,North Carolina,1372072
Maryland,North Dakota,27809
Maryland,Ohio,872659
Maryland,Oklahoma,193705
Maryland,Oregon,219506
Maryland,Pennsylvania,277900
Maryland,Rhode Island,535561
Maryland,South Carolina,528786
Maryland,South Dakota,27674
Maryland,Tennessee,923320
Maryland,Texas,3330956
Maryland,Utah,331194
Maryland,Vermont,29003
Maryland,Virginia,327804
